distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_consumed,cost_of_trip
12.3,5.2,55,21.5,12,SP98,0,0,0,0.6396000000000001,1.4192724
2.0,6.2,20,21.5,10,SP98,0,0,0,0.124,0.27515599999999996
13.9,5.1,29,21.5,6,SP98,0,0,0,0.7089,1.5730490999999998
9.7,3.9,42,21.5,8,SP98,0,0,0,0.37829999999999997,0.8394476999999999
11.6,5.0,25,21.5,6,SP98,0,0,0,0.58,1.2870199999999998
14.2,5.4,38,21.5,7,SP98,0,0,0,0.7668,1.7015292
11.8,4.5,39,21.5,6,SP98,0,0,0,0.531,1.178289
24.8,5.1,50,21.5,9,SP98,0,0,0,1.2648,2.8065911999999997
12.4,4.7,56,21.5,7,SP98,0,0,0,0.5828,1.2932332
34.8,4.0,28,20.0,4,SP98,0,0,0,1.392,3.0888479999999996
14.2,5.4,36,20.0,6,SP98,0,0,0,0.7668,1.7015292
5.2,4.5,39,20.0,10,SP98,0,0,0,0.234,0.519246
10.5,3.6,42,20.0,10,SP98,0,0,0,0.37800000000000006,0.838782
12.3,5.2,57,20.0,10,SP98,0,0,0,0.6396000000000001,1.4192724
11.8,4.9,25,20.0,11,SP98,0,0,0,0.5782,1.2830258
12.3,6.2,58,20.0,11,SP98,0,1,0,0.7626000000000001,1.6922094
13.2,4.3,51,20.0,11,SP98,0,1,0,0.5676,1.2595044
13.0,5.0,45,20.0,11,SP98,0,1,0,0.65,1.44235
12.9,5.1,32,20.0,11,SP98,0,0,0,0.6578999999999999,1.4598800999999997
13.9,5.6,22,20.0,8,SP98,0,0,0,0.7784,1.7272695999999998
11.8,4.3,37,20.0,6,SP98,0,0,0,0.5074000000000001,1.1259206000000002
12.2,5.8,60,20.0,11,SP98,0,0,0,0.7075999999999999,1.5701643999999997
12.5,4.0,51,20.0,13,SP98,0,0,0,0.5,1.1095
12.4,4.7,43,21.9,10,SP98,0,0,0,0.5828,1.2932332
11.8,5.9,21,20.0,9,SP98,1,1,0,0.6962,1.5448678
11.8,5.3,52,21.9,11,SP98,0,0,0,0.6254,1.3877625999999998
12.5,4.2,57,20.0,11,SP98,0,0,0,0.525,1.1649749999999999
15.7,5.3,33,21.9,9,SP98,0,0,0,0.8321,1.8464298999999997
12.9,5.7,35,21.9,9,SP98,0,0,0,0.7353000000000001,1.6316307
6.4,4.4,37,21.9,10,SP98,0,0,0,0.2816,0.6248704
5.3,4.1,34,21.9,9,SP98,0,0,0,0.21729999999999997,0.4821886999999999
26.2,5.8,71,21.0,8,SP98,1,1,0,1.5195999999999998,3.3719923999999994
18.8,5.0,62,21.9,9,SP98,0,1,0,0.94,2.08586
4.9,6.9,25,21.0,12,SP98,0,1,0,0.3381,0.7502439
12.4,5.4,18,21.0,11,SP98,1,1,0,0.6696000000000001,1.4858424000000001
22.9,5.3,45,20.5,7,SP98,0,0,0,1.2137,2.6932003
162.7,5.5,75,23.0,1,SP98,0,0,0,8.9485,19.856721499999995
4.9,6.5,26,21.0,1,SP98,0,0,0,0.3185,0.7067515
11.8,4.7,36,21.0,4,SP98,0,0,0,0.5546000000000001,1.2306574000000001
16.6,5.1,56,21.0,7,SP98,0,0,0,0.8466,1.8786053999999999
12.4,5.7,37,21.0,7,SP98,0,0,0,0.7068000000000001,1.5683892000000001
15.9,5.4,25,21.0,7,SP98,0,0,0,0.8586000000000001,1.9052334000000002
5.1,8.7,21,23.5,5,SP98,0,0,0,0.44369999999999993,0.9845702999999998
22.4,4.9,66,20.5,7,SP98,0,0,0,1.0976000000000001,2.4355744
31.1,4.7,42,20.5,7,SP98,0,0,0,1.4617000000000002,3.2435123000000003
4.9,6.3,27,20.5,3,SP98,0,0,0,0.30870000000000003,0.6850053
11.8,5.1,26,23.0,4,SP98,0,1,0,0.6018,1.3353941999999999
22.9,6.0,42,23.0,4,SP98,0,1,0,1.3739999999999997,3.0489059999999992
12.4,4.6,38,23.0,1,SP98,0,1,0,0.5704,1.2657175999999999
12.9,5.8,40,23.0,4,SP98,0,0,0,0.7482,1.6602557999999998
11.8,5.1,43,23.0,0,SP98,0,0,0,0.6018,1.3353941999999999
12.2,5.8,58,23.0,2,SP98,0,0,0,0.7075999999999999,1.5701643999999997
24.8,4.6,55,23.0,3,SP98,0,0,0,1.1408,2.5314351999999998
14.2,5.6,24,23.0,8,SP98,0,0,0,0.7951999999999999,1.7645487999999996
11.8,4.6,38,23.0,0,SP98,0,1,0,0.5428000000000001,1.2044732
12.2,6.3,57,23.0,0,SP98,0,1,0,0.7686,1.7055233999999997
24.7,5.5,56,25.0,1,SP98,0,0,0,1.3585,3.0145115
6.8,4.3,46,24.0,2,SP98,0,0,0,0.2924,0.6488356
17.3,5.6,37,21.5,1,SP98,0,0,0,0.9688,2.1497672
11.8,4.3,44,21.5,-3,SP98,0,0,0,0.5074000000000001,1.1259206000000002
15.9,5.7,46,21.5,5,SP98,0,0,0,0.9063000000000001,2.0110797000000002
5.1,6.4,39,21.5,4,SP98,0,0,0,0.3264,0.7242816
16.1,4.5,33,21.5,6,SP98,0,0,0,0.7245,1.6076655
11.8,4.5,43,21.5,3,SP98,0,0,0,0.531,1.178289
4.2,6.0,26,21.5,5,SP98,0,0,0,0.252,0.559188
17.4,5.1,30,21.5,5,SP98,0,0,0,0.8873999999999999,1.9691405999999996
23.5,6.0,25,21.5,5,SP98,0,1,0,1.41,3.1287899999999995
11.8,4.5,38,21.5,5,SP98,0,1,0,0.531,1.178289
12.3,6.1,61,21.5,10,SP98,0,1,0,0.7503,1.6649156999999999
16.1,5.4,24,21.5,7,E10,0,1,0,0.8694000000000002,1.7222814000000004
11.8,4.3,40,21.5,10,E10,0,1,0,0.5074000000000001,1.0051594000000001
12.3,5.4,58,21.5,13,E10,0,0,0,0.6642,1.3157802
12.4,4.3,49,21.5,17,E10,0,0,0,0.5332,1.0562692
7.0,5.2,25,21.5,17,E10,0,0,0,0.364,0.7210840000000001
11.8,4.1,37,21.5,10,E10,0,0,0,0.48379999999999995,0.9584077999999999
20.1,4.4,41,21.5,18,E10,0,0,0,0.8844000000000001,1.7519964000000003
20.8,4.5,45,21.5,10,E10,0,0,0,0.936,1.854216
1.7,10.8,14,21.5,10,E10,0,1,0,0.18359999999999999,0.36371159999999997
35.9,4.7,45,21.5,12,E10,0,0,0,1.6872999999999998,3.3425412999999997
36.9,4.8,52,21.5,5,E10,0,0,0,1.7711999999999997,3.5087471999999993
16.8,4.0,46,21.5,8,E10,0,0,0,0.672,1.3312320000000002
9.9,5.0,28,21.5,9,E10,0,0,0,0.495,0.980595
22.9,4.6,61,21.5,7,E10,0,1,0,1.0534,2.0867853999999997
17.3,5.0,61,21.5,6,E10,1,1,0,0.865,1.713565
11.8,4.3,37,21.5,7,E10,0,0,0,0.5074000000000001,1.0051594000000001
36.6,5.2,80,21.5,7,E10,0,1,0,1.9032000000000002,3.7702392000000007
44.9,4.7,62,21.5,8,E10,0,0,0,2.1103,4.1805043
11.8,4.2,34,21.5,9,E10,0,1,0,0.49560000000000004,0.9817836000000001
21.6,5.3,44,21.5,9,E10,0,1,0,1.1448,2.2678488000000003
39.4,5.3,60,21.5,9,E10,0,1,0,2.0882,4.136724200000001
5.1,8.1,39,21.5,4,E10,0,0,0,0.41309999999999997,0.8183511
26.6,4.8,38,21.5,7,E10,0,0,0,1.2768000000000002,2.5293408000000004
53.2,5.1,71,21.5,2,E10,0,0,0,2.7132,5.374849200000001
18.9,4.4,53,21.5,2,E10,0,0,0,0.8316,1.6473996000000002
43.5,5.0,80,21.5,3,E10,0,0,0,2.175,4.308675
6.1,6.3,26,21.5,5,E10,0,0,0,0.3843,0.7612983
16.4,4.8,49,21.5,5,E10,0,0,0,0.7871999999999999,1.5594431999999998
12.3,6.1,40,21.5,6,E10,0,0,0,0.7503,1.4863443
21.1,4.6,36,21.5,8,E10,0,0,0,0.9706,1.9227586
21.1,4.8,43,21.5,7,E10,0,0,0,1.0128,2.0063568
22.7,4.7,55,21.5,6,E10,0,0,0,1.0669,2.1135289
44.4,4.8,38,21.5,8,E10,0,0,0,2.1311999999999998,4.2219071999999995
35.8,4.4,51,21.5,6,E10,0,0,0,1.5752000000000002,3.1204712000000003
11.8,4.9,44,21.5,0,E10,0,0,0,0.5782,1.1454142
26.2,4.9,42,21.5,6,E10,0,0,0,1.2838,2.5432078000000002
40.6,4.4,44,21.0,3,E10,0,0,0,1.7864000000000002,3.5388584000000005
12.4,5.3,38,21.0,-5,E10,0,0,0,0.6572,1.3019132
14.1,5.3,47,21.0,-3,E10,0,0,0,0.7472999999999999,1.4804012999999998
58.7,4.8,75,21.0,0,E10,0,0,0,2.8176,5.581665600000001
16.2,5.2,29,21.0,0,E10,0,0,0,0.8423999999999999,1.6687944
12.3,4.9,50,22.5,0,E10,0,0,0,0.6027000000000001,1.1939487000000002
12.3,7.1,52,22.5,0,E10,1,1,0,0.8733,1.7300073
12.4,5.2,51,22.5,1,E10,0,0,0,0.6448,1.2773488000000002
31.8,4.7,59,22.5,3,E10,0,0,0,1.4946000000000002,2.9608026000000005
12.3,5.1,55,22.5,8,E10,0,0,0,0.6273,1.2426813
51.6,5.0,73,22.5,12,E10,0,0,0,2.58,5.1109800000000005
38.6,4.6,44,22.5,10,E10,0,0,0,1.7756,3.5174636
12.3,4.8,41,22.5,7,E10,0,0,0,0.5904,1.1695824000000001
81.2,4.4,69,22.0,13,E10,0,0,0,3.5728000000000004,7.077716800000001
130.3,4.6,85,22.0,12,E10,0,0,0,5.9938,11.873717800000001
67.2,4.3,67,22.0,18,E10,0,0,0,2.8895999999999997,5.7242976
43.7,4.7,44,22.0,9,SP98,0,1,0,2.0539,4.5576041
12.1,4.2,43,22.0,4,SP98,0,0,0,0.5082,1.1276958
56.1,4.8,82,22.0,13,SP98,0,0,0,2.6927999999999996,5.975323199999999
39.0,4.1,61,22.0,16,SP98,0,0,0,1.5989999999999998,3.548180999999999
11.8,4.5,41,21.5,13,SP98,0,0,0,0.531,1.178289
38.5,4.8,63,21.5,14,SP98,0,0,0,1.8479999999999999,4.100712
28.2,4.6,54,21.5,14,SP98,0,0,0,1.2972,2.8784867999999997
2.9,7.4,24,21.5,14,SP98,0,0,0,0.2146,0.4761974
6.1,5.6,24,21.5,13,SP98,0,0,0,0.34159999999999996,0.7580103999999999
19.6,4.9,43,21.5,13,SP98,0,0,0,0.9604000000000003,2.1311276000000006
22.2,3.8,42,21.9,15,SP98,0,0,0,0.8436,1.8719484
13.6,4.5,44,19.0,18,SP98,0,0,0,0.612,1.3580279999999998
12.6,4.1,33,21.9,17,SP98,0,0,0,0.5166,1.1463354
8.7,5.3,28,22.5,12,SP98,1,1,0,0.4610999999999999,1.0231808999999996
7.9,4.7,31,22.5,12,SP98,1,0,0,0.3713,0.8239147
